agent_id,current_location,goal_1,goal_2,time
,,329,715,
,,739,236,
,,684,466,
,,1023,265,
,,832,17,
,,1019,351,
,,46,919,
,,562,807,
,,452,201,
,,231,339,
,,169,788,
,,294,605,
,,587,849,
,,514,867,
,,487,885,
,,37,404,
,,62,768,
,,636,220,
,,206,763,
,,959,316,
,,219,957,
,,759,1015,
,,68,983,
,,920,1014,
,,269,81,
,,875,196,
,,306,291,
,,565,751,
,,491,295,
,,252,627,
,,379,1012,
,,1008,51,
,,825,544,
,,703,869,
,,130,963,
,,568,531,
,,485,246,
,,543,10,
,,105,396,
,,39,140,
,,31,33,
,,288,516,
,,557,195,
,,441,110,
,,21,82,
,,80,344,
,,154,298,
,,542,931,
,,57,406,
,,229,435,
,,890,895,
,,296,44,
,,747,756,
,,148,199,
,,5,729,
,,223,202,
,,659,272,
,,792,301,
,,648,218,
,,558,827,
,,831,137,
,,555,96,
,,709,273,
,,913,454,
,,177,448,
,,990,221,
,,156,147,
,,866,345,
,,85,888,
,,368,781,
,,173,700,
,,479,822,
,,1011,616,
,,621,862,
,,537,854,
,,620,736,
,,285,708,
,,795,361,
,,914,315,
,,421,994,
,,240,322,
,,907,937,
,,143,56,
,,458,695,
,,408,468,
,,447,819,
,,167,606,
,,878,38,
,,653,360,
,,426,63,
,,902,767,
,,341,213,
,,934,310,
,,518,581,
,,727,274,
,,879,704,
,,225,343,
,,526,688,
,,423,335,
,,951,160,
,,966,981,
,,921,770,
,,639,672,
,,53,276,
,,681,88,
,,327,107,
,,449,73,
,,680,996,
,,36,490,
,,359,363,
,,380,1004,
,,694,602,
,,654,992,
,,944,389,
,,205,719,
,,336,744,
,,461,840,
,,897,124,
,,766,870,
,,971,860,
,,66,891,
,,457,109,
,,545,114,
,,226,190,
,,489,623,
,,592,391,
,,717,438,
,,997,824,
,,513,493,
,,998,413,
,,16,102,
,,843,550,
,,328,705,
,,1016,6,
,,127,915,
,,235,857,
,,833,362,
,,520,326,
,,940,255,
,,670,811,
,,661,279,
,,54,249,
,,239,828,
,,129,436,
,,474,762,
,,696,716,
,,151,482,
,,263,1022,
,,572,603,
,,752,893,
,,43,515,
,,835,935,
,,376,258,
,,27,850,
,,469,260,
,,93,412,
,,887,597,
,,738,1007,
,,138,1001,
,,358,908,
,,993,677,
,,626,769,
,,395,172,
,,507,999,
,,629,985,
,,369,251,
,,217,967,
,,675,23,
,,726,635,
,,943,433,
,,801,757,
,,484,805,
,,271,325,
,,764,876,
,,29,116,
,,614,534,
,,877,227,
,,450,643,
,,663,847,
,,604,589,
,,307,112,
,,72,7,
,,651,674,
,,690,698,
,,222,178,
,,153,183,
,,221,143,
,,111,545,
,,174,825,
,,971,720,
,,478,157,
,,407,482,
,,15,416,
,,991,866,
,,590,614,
,,44,965,
,,586,711,
,,152,239,
,,166,315,
,,9,601,
,,307,514,
,,390,226,
,,188,118,
,,207,585,
,,383,571,
,,210,782,
,,594,351,
,,156,273,
,,195,39,
,,316,956,
,,996,605,
,,380,630,
,,368,781,
,,832,902,
,,802,515,
,,378,512,
,,674,561,
,,717,894,
,,391,785,
,,441,461,
,,58,969,
,,641,99,
,,462,979,
,,628,651,
,,124,862,
,,877,364,
,,62,265,
,,178,685,
,,824,704,
,,218,21,
,,997,984,
,,623,179,
,,864,48,
,,79,947,
,,43,964,
,,1021,110,
,,893,977,
,,65,438,
,,153,574,
,,897,102,
,,440,666,
,,72,280,
,,374,70,
,,917,140,
,,570,613,
,,579,471,
,,358,418,
,,946,778,
,,278,808,
,,106,637,
,,477,684,
,,398,247,
,,615,170,
,,510,558,
,,329,206,
,,325,258,
,,507,814,
,,968,302,
,,479,63,
,,228,474,
,,443,985,
,,664,1,
,,457,381,
,,906,912,
,,620,236,
,,248,703,
,,659,966,
,,535,596,
,,822,951,
,,557,1011,
,,483,417,
,,910,526,
,,527,158,
,,1016,396,
,,546,362,
,,768,972,
,,795,101,
,,137,404,
,,780,121,
,,432,69,
,,861,481,
,,714,112,
,,68,771,
,,486,745,
,,266,52,
,,958,297,
,,464,341,
,,821,865,
,,450,213,
,,180,833,
,,393,986,
,,564,4,
,,581,419,
,,629,719,
,,442,245,
,,401,935,
,,898,447,
,,308,690,
,,675,530,
,,632,86,
,,925,1002,
,,215,160,
,,355,154,
,,949,222,
,,488,860,
,,709,25,
,,873,162,
,,198,161,
,,792,800,
,,292,602,
,,671,246,
,,840,269,
,,592,582,
,,672,828,
,,702,645,
,,789,869,
,,338,189,
,,1020,18,
,,513,521,
,,755,359,
,,624,737,
,,439,494,
,,336,918,
,,251,697,
,,830,705,
,,495,797,
,,397,523,
,,122,846,
,,915,502,
,,998,120,
,,937,944,
,,842,379,
,,960,890,
,,201,431,
,,1015,701,
,,384,190,
,,24,56,
,,863,270,
,,562,878,
,,114,577,
,,568,169,
,,382,791,
,,506,764,
,,543,600,
,,698,220,
,,168,631,
,,435,392,
,,676,252,
,,87,38,
,,559,313,
,,301,290,
,,5,759,
,,183,880,
,,588,681,
,,921,660,
,,434,217,
,,209,89,
,,994,763,
,,995,757,
,,976,229,
,,330,240,
,,66,807,
,,29,611,
,,23,19,
,,433,3,
,,306,345,
,,556,205,
,,448,970,
,,403,639,
,,131,827,
,,576,1014,
,,249,90,
,,816,540,
,,238,887,
,,593,718,
,,973,635,
,,882,1003,
,,7,376,
,,652,235,
,,216,257,
,,282,95,
,,854,809,
,,694,344,
,,33,244,
,,113,760,
,,465,100,
,,975,928,
,,458,223,
,,959,46,
,,17,28,
,,654,751,
,,723,267,
,,776,493,
,,656,680,
,,389,134,
,,555,531,
,,318,989,
,,394,284,
,,31,47,
,,50,881,
,,858,125,
,,57,109,
,,823,85,
,,459,361,
,,1004,636,
,,653,323,
,,961,638,
,,610,203,
,,138,82,
,,130,687,
,,413,386,
,,328,565,
,,357,736,
,,298,595,
,,616,449,
,,888,107,
,,648,149,
,,713,165,
,,454,901,
,,837,255,
,,76,847,
,,36,663,
,,11,741,
,,742,549,
,,619,304,
,,990,945,
,,1005,452,
,,80,696,
,,649,765,
,,334,1000,
,,127,466,
,,283,589,
,,850,490,
,,529,423,
,,786,943,
,,852,597,
,,987,81,
,,105,508,
,,497,202,
,,851,566,
,,132,872,
,,983,740,
,,904,96,
,,437,371,
,,518,668,
,,633,148,
,,196,309,
,,295,721,
,,516,8,
,,643,319,
,,857,1001,
,,485,468,
,,607,37,
,,119,272,
,,886,889,
,,913,856,
,,927,335,
,,185,706,
,,369,139,
,,604,275,
,,1019,60,
,,366,642,
,,813,312,
,,896,870,
,,688,900,
,,834,756,
,,647,27,
,,199,618,
,,730,167,
,,934,992,
,,1008,544,
,,953,661,
,,388,34,
,,726,831,
,,260,116,
,,993,26,
,,293,957,
,,905,348,
,,412,788,
,,227,724,
,,563,356,
,,117,914,
,,744,491,
,,281,798,
,,617,999,
,,542,53,
,,424,715,
,,41,700,
,,752,650,
,,263,1017,
,,748,271,
,,446,484,
,,784,163,
,,365,279,
,,541,826,
,,967,876,
,,12,982,
,,678,406,
,,73,456,
,,931,231,
,,769,1010,
,,504,939,
,,500,219,
,,108,77,
,,829,766,
,,321,911,
,,75,84,
,,843,405,
,,10,907,
,,342,805,
,,176,528,
,,835,519,
,,409,689,
,,708,164,
,,377,1022,
,,560,191,
,,35,436,
,,572,539,
,,733,859,
,,803,885,
,,820,728,
,,16,767,
,,599,810,
,,920,710,
,,867,819,
,,208,954,
,,695,670,
,,919,538,
,,135,147,
,,322,175,
,,177,774,
,,352,727,
,,54,916,
,,276,472,
,,350,801,
,,874,520,
,,0,408,
,,938,444,
,,415,895,
,,686,324,
,,844,172,
,,414,804,
,,569,677,
,,679,716,
,,13,606,
,,879,981,
,,534,891,
,,291,225,
,,729,59,
,,296,750,
,,662,286,
,,722,839,
,,151,779,
,,337,129,
,,811,738,
,,598,425,
,,567,285,
,,354,626,
,,331,923,
,,609,289,
,,746,428,
,,603,212,
,,314,673,
,,171,55,
,,489,1009,
,,310,204,
,,640,499,
,,326,343,
,,747,849,
,,470,492,
,,71,420,
,,1007,487,
,,327,583,
,,230,621,
,,262,739,
,,427,749,
,,505,469,
,,363,550,
,,187,537,
,,875,473,
,,536,51,
,,806,173,
,,91,360,
,,288,770,
,,299,142,
,,373,104,
,,997,139,
,,943,602,
,,381,964,
,,306,84,
,,108,292,
,,609,442,
,,647,913,
,,709,208,
,,727,518,
,,745,11,
,,162,897,
,,710,807,
,,301,659,
,,41,981,
,,217,137,
,,326,257,
,,919,784,
,,132,789,
,,830,0,
,,204,587,
,,508,121,
,,379,935,
,,416,890,
,,860,471,
,,276,165,
,,328,828,
,,408,322,
,,309,156,
,,296,642,
,,77,167,
,,5,187,
,,571,733,
,,621,877,
,,635,29,
,,307,594,
,,464,869,
,,458,510,
,,616,57,
,,590,36,
,,523,86,
,,918,850,
,,648,607,
,,31,105,
,,318,491,
,,800,152,
,,95,641,
,,65,415,
,,157,69,
,,34,358,
,,577,170,
,,469,554,
,,649,487,
,,479,565,
,,940,694,
,,178,308,
,,772,872,
,,468,737,
,,176,441,
,,56,251,
,,19,645,
,,436,570,
,,643,394,
,,424,229,
,,741,678,
,,329,697,
,,247,54,
,,485,250,
,,544,717,
,,459,898,
,,289,278,
,,617,366,
,,198,811,
,,23,1004,
,,698,891,
,,934,248,
,,738,370,
,,945,401,
,,377,747,
,,550,495,
,,456,492,
,,336,640,
,,274,906,
,,304,834,
,,85,623,
,,538,213,
,,506,636,
,,721,842,
,,863,438,
,,531,820,
,,489,205,
,,68,80,
,,851,568,
,,894,670,
,,228,175,
,,687,989,
,,960,177,
,,865,331,
,,131,116,
,,746,923,
,,561,96,
,,826,25,
,,764,983,
,,413,752,
,,742,994,
,,382,316,
,,876,443,
,,668,412,
,,1014,576,
,,610,135,
,,102,66,
,,395,723,
,,759,368,
,,173,867,
,,398,675,
,,28,755,
,,449,147,
,,125,153,
,,343,819,
,,535,765,
,,119,987,
,,971,973,
,,870,778,
,,1005,33,
,,419,706,
,,528,540,
,,858,560,
,,488,546,
,,968,599,
,,864,389,
,,545,383,
,,915,43,
,,327,345,
,,774,601,
,,958,908,
,,887,12,
,,781,299,
,,47,653,
,,202,805,
,,592,183,
,,392,330,
,,374,766,
,,334,112,
,,579,362,
,,597,351,
,,38,263,
,,433,504,
,,700,428,
,,832,273,
,,16,440,
,,558,206,
,,555,154,
,,536,472,
,,672,290,
,,502,595,
,,703,231,
,,638,26,
,,875,201,
,,497,549,
,,801,291,
,,437,829,
,,631,494,
,,999,689,
,,873,454,
,,376,434,
,,878,992,
,,81,35,
,,435,285,
,,115,714,
,,21,507,
,,563,768,
,,856,779,
,,498,240,
,,1003,235,
,,500,404,
,,189,957,
,,907,293,
,,969,861,
,,970,724,
,,921,886,
,,321,190,
,,448,284,
,,663,776,
,,420,100,
,,344,295,
,,160,163,
,,569,614,
,,70,191,
,,269,133,
,,813,393,
,,792,99,
,,809,512,
,,654,656,
,,282,106,
,,199,114,
,,888,527,
,,632,315,
,,684,172,
,,207,51,
,,543,348,
,,843,559,
,,581,771,
,,405,76,
,,313,310,
,,75,927,
,,677,477,
,,386,1020,
,,164,212,
,,967,180,
,,10,409,
,,961,688,
,,720,1015,
,,882,966,
,,991,541,
,,314,450,
,,566,839,
,,418,281,
,,149,236,
,,447,8,
,,335,679,
,,279,104,
,,7,342,
,,117,708,
,,378,24,
,,603,791,
,,626,557,
,,275,298,
,,780,124,
,,795,339,
,,142,58,
,,859,767,
,,129,134,
,,949,848,
,,798,954,
,,118,982,
,,534,461,
,,719,760,
,,630,944,
,,788,71,
,,769,716,
,,168,690,
,,1016,615,
,,414,505,
,,6,736,
,,473,526,
,,814,650,
,,39,715,
,,215,283,
,,9,355,
,,895,37,
,,161,666,
,,446,493,
,,881,701,
,,651,956,
,,122,166,
,,361,740,
,,219,831,
,,804,227,
,,272,556,
,,226,905,
,,4,866,
,,847,302,
,,140,808,
,,748,425,
,,262,939,
,,605,62,
,,730,1019,
,,258,107,
,,673,972,
,,520,266,
,,993,977,
,,27,1021,
,,840,674,
,,624,984,
,,60,542,
,,718,1011,
,,600,664,
,,457,59,
,,604,223,
,,661,474,
,,950,1023,
,,824,337,
,,916,486,
,,87,912,
,,427,639,
,,900,244,
,,113,588,
,,481,270,
,,319,280,
,,352,1001,
,,976,470,
,,396,426,
,,42,15,
,,619,1017,
,,93,238,
,,998,417,
,,618,572,
,,13,705,
,,91,562,
,,806,827,
,,925,637,
,,770,880,
,,628,917,
,,1012,711,
,,802,574,
,,823,439,
,,874,722,
,,889,288,
,,797,996,
,,822,763,
,,18,862,
,,145,696,
,,676,50,
,,681,3,
,,928,596,
,,246,613,
,,323,782,
,,975,857,
,,365,529,
,,810,499,
,,938,585,
,,1002,151,
,,431,1010,
,,750,893,
,,539,1022,
,,143,210,
,,911,267,
,,786,478,
,,148,920,
,,946,286,
,,660,195,
,,138,652,
,,910,744,
,,729,297,
,,821,513,
,,359,53,
,,390,225,
,,90,421,
,,357,816,
,,127,901,
,,937,88,
,,530,384,
,,680,216,
,,465,350,
,,482,406,
,,196,444,
,,885,833,
,,757,260,
,,586,203,
,,89,391,
,,598,904,
,,704,739,
,,324,325,
,,959,245,
,,995,702,
,,55,564,
,,751,72,
,,363,537,
,,985,109,
,,567,209,
,,879,611,
,,837,1007,
,,484,220,
,,169,130,
,,633,101,
,,265,179,
,,369,466,
,,252,762,
,,255,271,
,,110,397,
,,515,490,
,,52,230,
,,951,432,
,,341,835,
,,947,79,
,,171,986,
,,854,356,
,,852,222,
,,120,627,
,,354,990,
,,933,380,
